inventory_size,trial,purchase,delta_n
5,0,brown sugar,4
5,1,honey,10
5,2,oil,6
5,3,cornstarch,6
5,4,ground cinnamon,0
5,5,parsley,0
5,6,cream cheese,5
5,7,fresh ground black pepper,0
5,8,carrot,4
5,9,all-purpose flour,3
5,10,fresh ground black pepper,0
5,11,brown sugar,4
5,12,chicken broth,2
5,13,honey,10
5,14,garlic cloves,1
5,15,chili powder,1
5,16,milk,13
5,17,cream cheese,5
5,18,cinnamon,2
5,19,walnuts,4
5,20,cayenne pepper,0
5,21,nutmeg,0
5,22,salt and pepper,3
5,23,celery,2
5,24,milk,53
5,25,chicken broth,2
5,26,fresh parsley,0
5,27,baking powder,27
5,28,cream cheese,7
5,29,egg,54
5,30,brown sugar,4
5,31,cayenne pepper,0
5,32,unsalted butter,1
5,33,pecans,3
5,34,parmesan cheese,3
5,35,dijon mustard,1
5,36,worcestershire sauce,0
5,37,vanilla,0
5,38,salt and pepper,8
5,39,cinnamon,1
5,40,egg,53
5,41,red onion,0
5,42,parsley,0
5,43,cheddar cheese,4
5,44,green onion,0
5,45,brown sugar,3
5,46,walnuts,3
5,47,baking powder,8
5,48,chicken broth,2
5,49,honey,15
5,50,vanilla,1
5,51,unsalted butter,0
5,52,walnuts,2
5,53,egg,51
5,54,bacon,5
5,55,ground cumin,0
5,56,paprika,0
5,57,all-purpose flour,11
5,58,ground cumin,0
5,59,chicken broth,1
5,60,granulated sugar,5
5,61,all-purpose flour,4
5,62,mayonnaise,1
5,63,pecans,5
5,64,ground cumin,1
5,65,green onion,0
5,66,all-purpose flour,7
5,67,pecans,3
5,68,chili powder,1
5,69,brown sugar,4
5,70,vanilla extract,4
5,71,red onion,0
5,72,celery,2
5,73,nutmeg,0
5,74,parmesan cheese,3
5,75,parsley,0
5,76,mayonnaise,1
5,77,carrot,3
5,78,egg,50
5,79,honey,11
5,80,powdered sugar,2
5,81,powdered sugar,3
5,82,garlic cloves,1
5,83,fresh lemon juice,4
5,84,celery,2
5,85,cayenne pepper,0
5,86,milk,11
5,87,cornstarch,9
5,88,cinnamon,1
5,89,paprika,0
5,90,all-purpose flour,42
5,91,celery,2
5,92,chicken broth,1
5,93,extra virgin olive oil,0
5,94,green onion,0
5,95,oil,6
5,96,milk,12
5,97,chicken broth,2
5,98,ground cinnamon,0
5,99,fresh parsley,0
7,0,cinnamon,4
7,1,sour cream,9
7,2,ground cumin,0
7,3,powdered sugar,6
7,4,egg,55
7,5,red onion,0
7,6,chili powder,2
7,7,tomatoes,1
7,8,carrot,3
7,9,soy sauce,1
7,10,nutmeg,0
7,11,oil,5
