nutrient,target,n,rho,p_value,p_fdr
calories,rating_mean,165537,-0.0013934936818784155,0.5707439696554566,0.5707439696554566
calories,interaction_count,168090,-0.018494315206496414,3.375616688984227e-14,1.1814658411444796e-13
total_fat_pdv,rating_mean,165537,0.016757211746689586,9.212004798412361e-12,2.1494677862962174e-11
total_fat_pdv,interaction_count,168090,-0.014026132511010975,8.883087807272012e-09,1.554540366272602e-08
sugar_pdv,rating_mean,165537,0.02379421412567507,3.586685785850653e-22,2.510680050095457e-21
sugar_pdv,interaction_count,168090,-0.014375615576344451,3.767568712990341e-09,7.535137425980683e-09
sodium_pdv,rating_mean,165537,-0.023089233791381336,5.704298255556786e-21,2.662005852593167e-20
sodium_pdv,interaction_count,168090,0.012882766704064495,1.2781111144184342e-07,1.626686872896189e-07
protein_pdv,rating_mean,165537,-0.03844023895298515,3.56270209139415e-55,4.9877829279518096e-54
protein_pdv,interaction_count,168090,-0.007216438951910509,0.003089712928642202,0.003604665083415902
saturated_fat_pdv,rating_mean,165537,0.014025851912183947,1.1510021239968653e-08,1.7904477484395682e-08
saturated_fat_pdv,interaction_count,168090,-0.003544445696078189,0.14617565248200043,0.15741993344215433
carbohydrates_pdv,rating_mean,165537,-0.017916497450156322,3.097735190195875e-13,8.67365853254845e-13
carbohydrates_pdv,interaction_count,168090,-0.013661509781488682,2.1278439174044854e-08,2.9789814843662796e-08
