id,cluster,center_distance
137739,1,0.8634815
31490,3,0.8572198
112140,5,0.9443221
59389,1,0.84964615
44061,4,0.9385591
5289,0,0.95932955
25274,4,0.9873567
67888,5,0.91088337
70971,0,0.9180669
75452,2,0.91060686
109439,4,0.9951857
42198,2,0.95379645
67547,5,0.8988817
107517,4,0.95860875
39959,0,0.9977246
63986,4,0.95722955
43026,4,1.002367
23933,4,1.021509
8559,4,0.94366884
23850,3,0.85674953
76808,5,0.9299058
24701,1,0.86588156
83873,3,0.931073
107699,2,0.83274704
49262,4,0.9692512
48156,4,1.0030905
54272,4,0.92646
47366,5,0.88894075
37073,4,1.0141581
44123,4,0.949676
27087,2,0.74646705
59952,4,0.9208029
93249,2,0.9409347
54100,5,0.8727353
67664,2,0.9862368
87098,4,0.9955876
25775,4,0.92303884
33165,4,0.9155908
38798,4,0.9583987
22123,4,0.9635241
90921,4,0.95958626
93959,2,0.803987
93958,2,0.9120657
58224,4,0.9658902
33606,3,0.9017218
94710,4,0.98661417
35173,4,0.9675123
83025,2,0.77284217
52804,5,0.95181483
108414,4,0.94422394
26995,2,0.7548009
53402,4,0.95094264
59632,4,0.9411739
22526,2,0.95392644
100870,4,0.99241894
84797,4,0.96190614
35653,2,0.71835566
32169,1,0.88139224
24478,4,1.0036575
44045,2,0.88070625
60219,4,0.9832531
81185,4,0.9204717
30131,4,0.9430471
63593,2,0.9884577
43164,4,0.91641897
30300,4,0.9676259
78655,1,0.88070065
74805,2,1.0189228
71635,2,0.91435015
38276,4,0.9230182
97052,3,0.65776426
26835,2,0.75658506
32271,2,0.8120558
107229,4,0.95894796
5060,4,1.0087428
42570,1,0.8954115
52443,4,0.9727851
35595,4,0.9499032
108804,4,0.9504626
83950,1,0.8936745
19208,5,0.8516067
64302,4,0.94408196
35964,2,0.82228076
71457,2,0.8321036
95926,4,1.0030751
103948,4,0.92986447
99024,4,0.9323422
64045,5,0.92842525
41756,3,0.85302323
112959,3,0.885147
83062,2,0.92353344
98930,3,0.8369795
83133,5,0.9114813
39947,2,0.98717165
44895,5,0.8316888
39363,2,0.8411786
62368,2,0.88615304
111875,0,0.7670417
42522,4,0.97464293
34930,4,0.9515539
63793,4,0.9599572
61973,2,0.9070375
45859,0,0.88393795
58651,2,0.9478533
59534,4,0.8924311
24137,3,0.8778257
40237,2,0.9096397
18537,2,1.0057122
104243,4,0.94285417
105069,3,0.79282
70099,4,0.95733446
333281,2,0.9471043
234069,4,1.0076662
37841,4,0.94674134
144952,1,0.84471506
453467,2,0.89986014
31835,2,0.9143702
197013,1,0.9231355
306168,4,0.95339674
286009,2,0.8223177
24514,4,0.9875463
42508,4,0.9458706
116679,4,0.9723971
124286,2,0.8495573
190,5,0.9031087
475785,1,0.92203486
17265,2,0.9547208
50662,2,0.91739726
177187,2,0.79099035
118843,2,0.8409922
208179,2,0.8853286
500166,4,0.9550387
501028,4,0.9460544
136602,2,0.8834652
69190,5,0.9083598
503475,2,0.8002695
522861,4,0.9184207
457136,4,0.9650837
455351,3,0.8063607
333797,5,0.7510749
428056,5,0.85973364
306245,5,0.8803209
523359,5,0.9408478
495314,4,0.965402
149593,2,0.75212497
227924,2,0.937232
100540,2,0.93801177
155959,1,0.89834154
29214,4,0.9639192
92533,2,0.9004124
209203,4,0.982164
42151,4,0.97678196
327356,5,0.85967153
325509,5,0.6464762
236184,2,0.8277745
241445,4,0.9164375
149887,2,0.8657073
112984,3,0.7623204
200148,5,0.93757933
445026,4,0.93956107
70611,3,0.8400036
273326,4,0.9348347
310570,2,0.9421721
318677,4,0.9659851
80050,2,0.92179114
269984,4,0.9475545
317508,4,0.97849953
53872,1,0.91691387
268942,4,0.93978965
176110,4,0.93802375
205331,4,0.9788131
165856,4,1.0016642
474769,4,0.95377606
138005,3,0.9092797
216945,5,0.6367522
164526,4,0.96421915
50184,5,0.9579061
316470,0,0.57998765
343338,3,0.72749794
137434,4,0.95039886
95534,4,0.9421398
30473,5,0.89286804
24470,4,1.0052327
311991,4,0.9471863
225707,4,0.92883635
242830,1,0.914805
336744,4,0.97118574
83542,2,0.85034615
91626,4,0.9539851
303457,4,0.9813204
176717,0,0.955087
39226,5,0.91615784
216030,2,0.83282506
268169,1,0.8678591
98357,4,0.95010614
150365,4,0.9354686
243251,1,0.9269325
20186,4,0.9906237
109818,4,0.99120057
243785,4,0.9873759
207525,4,0.9766755
226246,2,0.85890526
353044,0,0.8662991
263781,4,0.9796445
66932,1,0.9096145
48131,4,1.0204443
32363,4,0.98139024
293225,2,0.9398927
235173,1,0.85161126
226001,5,0.8415632
220186,4,0.9542346
217201,5,0.93300384
194665,4,0.9613064
269909,2,0.85285276
259693,5,0.8664697
161370,1,0.94648737
152261,0,0.49511212
152259,0,0.62039536
303460,4,0.97244215
270259,2,0.78449166
345123,4,0.96313536
125195,4,0.9342611
141939,4,0.92877394
171442,4,0.96172804
212188,4,0.9150614
262208,3,0.8828445
207857,4,1.0152626
221049,4,0.9753476
221116,4,1.0089982
130819,2,0.77724624
20223,4,0.9581086
190108,1,0.88374096
158372,4,0.97213566
219681,1,0.8837634
261215,2,0.86755544
179640,2,0.9360541
250883,0,1.0009062
140855,4,0.91746306
120297,1,0.8206245
130492,2,0.91032356
