id,taste_cluster,taste_center_distance
137739,14,0.66053325
31490,9,0.86158514
112140,2,0.9278444
59389,15,0.8430404
44061,15,0.77124214
5289,0,0.6942499
25274,2,0.98290426
67888,7,0.84797424
70971,8,0.9601249
75452,3,0.8897729
109439,2,1.0015483
42198,13,0.9124465
67547,2,0.91031414
107517,2,0.9653756
39959,13,1.0079063
63986,2,0.95717525
43026,2,1.0034629
23933,13,0.9602626
8559,7,0.82323223
23850,9,0.8539819
76808,4,0.9356167
24701,1,0.86407405
83873,9,0.93636674
107699,12,0.82598275
49262,13,0.9212491
48156,2,0.99596304
54272,2,0.89533955
47366,5,0.8402191
37073,2,1.0229144
44123,2,0.9362511
27087,3,0.666934
59952,15,0.8477286
93249,13,0.846381
54100,4,0.8884878
67664,0,0.6770611
87098,2,0.9884613
25775,2,0.9114645
33165,15,0.82434654
38798,2,0.956854
22123,2,0.9468718
90921,7,0.7745575
93959,3,0.7881052
93958,12,0.81611365
58224,2,0.9588117
33606,9,0.90653205
94710,5,0.90275496
35173,13,0.9837112
83025,3,0.7494175
52804,6,0.8793725
108414,14,0.87847096
26995,6,0.7325608
53402,5,0.8401943
59632,15,0.8216806
22526,6,0.78446615
100870,2,0.989881
84797,14,0.9156944
35653,0,0.66871625
32169,5,0.8658389
24478,2,1.005616
44045,3,0.82443625
60219,0,0.6740127
81185,2,0.89524925
30131,7,0.92814887
63593,10,0.6578894
43164,15,0.8327883
30300,11,0.7796551
78655,1,0.8762838
74805,13,0.9743887
71635,10,0.7468751
38276,2,0.91007936
97052,9,0.65509975
26835,3,0.6811447
32271,3,0.84391665
107229,7,0.78218335
5060,13,0.98328745
42570,1,0.89233744
52443,5,0.80988127
35595,2,0.9323222
108804,2,0.9445712
83950,1,0.897663
19208,4,0.83927464
64302,2,0.9374302
35964,3,0.82392466
71457,0,0.75546414
95926,11,0.8060629
103948,2,0.9190507
99024,10,0.759648
64045,7,0.8401258
41756,9,0.85332346
112959,9,0.88906103
83062,6,0.8464063
98930,9,0.83548164
83133,4,0.930783
39947,13,0.94215333
44895,4,0.8191837
39363,3,0.7971593
62368,10,0.8323596
111875,8,0.7528304
42522,10,0.7810442
34930,2,0.93537843
63793,2,0.960863
61973,6,0.8427219
45859,8,0.8734219
58651,13,0.90807444
59534,15,0.8174027
24137,9,0.87687546
40237,3,0.8924838
